parkname,rum_mean_per_trip,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mdcev_mean_per_person,std.dev,ci_lo2.5%,ci_hi97.5%,rum_annual_total,mdcev_annual_total,difference,year
Kamananui Trail,-0.3753332944316036,0.3310210757775734,-0.3911201956792228,-0.35954639318398446,-633.9379342949785,4,-0.0322539878319535,0.02052029212032306,-0.08135409986092282,-0.008529811846924765,-633.9379342949785,-43.47837559747332,-590.4595586975051,2019
Kaunala Trail,-0.84685771095489,0.7721269437249604,-0.8836816255125315,-0.8100337963972486,-1430.3426738028093,5,-0.134750357723875,0.054094504503141294,-0.2324366631972276,-0.06869716958197689,-1430.3426738028093,-181.6434822117835,-1248.6991915910257,2019
Kawaikoi,-7.096179857095733,12.963026529363285,-7.714406413240561,-6.477953300950905,-11985.447778634694,6,-2.3193471973645465,0.3080647799596876,-2.796613528604733,-1.691678015315285,-11985.447778634694,-3126.4800220474085,-8858.967756587286,2019
Keanakolu Ranger & Bunkhouse Cabins,-17.5157205998079,19.528802711836143,-18.447079061415803,-16.584362138199996,-29584.05209307554,7,-5.614804527059129,0.3955486217989368,-6.471472425329777,-4.959493391772314,-29584.05209307554,-7568.756502475706,-22015.295590599835,2019
Kuaokala Trail,-14.475281860023662,12.350248485355767,-15.064284094288888,-13.886279625758435,-24448.751061579966,8,-2.8299601910662533,0.36238934286278507,-3.557220021489642,-2.2380353921730154,-24448.751061579966,-3814.7863375573093,-20633.964724022655,2019
Kulanaahane Trail,-0.7522571706494338,0.6636857612100417,-0.7839093594022555,-0.720604981896612,-1270.5623612268937,9,-0.05042196353073552,0.019242532097238342,-0.08905810238691092,-0.020507473378954165,-1270.5623612268937,-67.96880683943148,-1202.5935543874623,2019
Kuliouou Trail,-1.7984177318791508,1.7133440013533332,-1.8801297270716884,-1.7167057366866132,-3037.5275491438856,10,-0.2836346255803605,0.05950415899157253,-0.38549211814308876,-0.20475877392501057,-3037.5275491438856,-382.33947528232596,-2655.1880738615596,2019
Lonomea,-4.465273762158274,7.9944352059225805,-4.84654060092353,-4.0840069233930185,-7541.847384285325,11,-1.7985866630466707,0.2927527368407453,-2.355296212739101,-1.3148377033341925,-7541.847384285325,-2424.4948217869123,-5117.352562498412,2019
Manana Trail,-1.3205053332730803,1.1447920973074306,-1.3751022188242317,-1.265908447721929,-2230.3335078982327,12,-0.08708917792910247,0.024257978238760074,-0.13213503812833904,-0.05168657675552098,-2230.3335078982327,-117.39621184843013,-2112.9372960498026,2019
Peacock Flats Campsite,-78.03518725946255,67.36057212339973,-81.2477159408985,-74.82265857802659,-131801.43128123225,13,-14.651667185549787,0.9169869661427219,-16.608556174665747,-13.4816952869218,-131801.43128123225,-19750.447366121112,-112050.98391511114,2019
Sugi Grove,-6.421282037927956,11.699597133656845,-6.979253714360052,-5.863310361495859,-10845.545362060317,14,-2.05557816795304,0.3399694153996851,-2.6340492446042556,-1.4791207410648513,-10845.545362060317,-2770.919370400698,-8074.625991659619,2019
Waialae Cabin Campsite,-0.9478297411058931,1.6648542013363452,-1.0272291835928762,-0.86843029861891,-1600.8844327278534,15,-1.2344447020895746,0.5020504966023852,-2.420376369493353,-0.6557073578749513,-1600.8844327278534,-1664.0314584167465,63.14702568889311,2019
Waikoali,-2.8171950284927854,5.032983444102632,-3.057225704564721,-2.5771643524208496,-4758.2424031243145,16,-0.7650010977607516,0.14109689835316938,-1.0353216218212318,-0.5810549731530944,-4758.2424031243145,-1031.2214797814931,-3727.0209233428213,2019
Waikolu,-0.5638260923849415,0.5666255594433552,-0.5908493317067782,-0.5368028530631048,-952.3022700381663,17,-0.40175381212120675,0.12408756921939171,-0.6438315646107042,-0.22678852492981447,-952.3022700381663,-541.5641387393867,-410.73813129877954,2019
