year,parkname,rum_mean_per_trip,mdcev_mean_per_person,rum_annual_total,mdcev_annual_total,difference,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,std.dev,ci_lo2.5%,ci_hi97.5%,parkname_numeric
2020,Waimano Trail,-0.6967751113885311,-0.0657730478631319,-752.5171202996136,-56.76214030588283,-695.7549799937308,0.5971397981505467,-0.7323890667976992,-0.661161155979363,-752.5171202996136,0.0328786792780283,-0.138047139476921,-0.0215193682496034,19
2020,Waimanu Campsite,-15.106658887014744,-6.06230137539511,-16315.191597975923,-5231.76608696598,-11083.425511009944,43.72777798872177,-17.714622952139276,-12.498694821890213,-16315.191597975923,0.560444262771265,-7.12134090897995,-5.12960752883051,20
2020,Wiliwili,-3.6929021948198746,-2.52025186340558,-3988.3343704054646,-2174.9773581190157,-1813.357012286449,3.4773025132664706,-3.900291648738735,-3.4855127409010143,-3988.3343704054646,0.423784824094693,-3.2686665381171,-1.7728647823432,21
2020,Wiliwilinui Ridge Trail,-0.5571087230010533,-0.0601863694304153,-601.6774208411375,-51.9408368184484,-549.7365840226892,0.5192227713062633,-0.5880756367488856,-0.526141809253221,-601.6774208411375,0.0283379630363772,-0.112192516857891,-0.0221153179874453,22
2021,Ainapo Cabin,-1.6296493493822046,-1.19902503241754,-3572.1913738457924,-1961.6049530350954,-1610.586420810697,3.8817719803649813,-1.7921540086120284,-1.4671446901523808,-3572.1913738457924,0.254693831418801,-1.70861677768949,-0.794136836019191,1
2021,Hipalau,-1.9550959214180745,-1.13075723394494,-4285.57025974842,-1849.918834733922,-2435.6514250144974,2.9140524847251204,-2.077088431128434,-1.833103411707715,-4285.57025974842,0.235161605404415,-1.55090065340917,-0.769728324409371,2
2021,Kaluahaulu,-2.5291959288423675,-1.53335109903527,-5543.9974760224695,-2508.5623980217015,-3035.435078000768,3.7775283458374056,-2.687336582048275,-2.37105527563646,-5543.9974760224695,0.318452977155163,-2.23340046476509,-1.04026860084298,3
2021,Kamananui Trail,-0.961774271591427,-0.204923347674621,-2108.209203328408,-335.25459679567996,-1772.9546065327281,0.6327905063841006,-0.9882651129195534,-0.9352834302633006,-2108.209203328408,0.0730577060350627,-0.364850404651891,-0.0977935622260905,4
2021,Kaunala Trail,-2.282370800103598,-0.481418585674215,-5002.956793827087,-787.6008061630158,-4215.355987664071,1.6021034009501165,-2.349440496247332,-2.2153011039598636,-5002.956793827087,0.0847678831342221,-0.622786680081871,-0.358553040489241,5
2021,Kawaikoi,-9.368033207399185,-3.63008825717923,-20534.728790619014,-5938.824388745221,-14595.904401873793,14.197235733936388,-9.962379543716416,-8.773686871081953,-20534.728790619014,0.334740530160837,-4.40141199295365,-3.1813606001879,6
2021,Keanakolu Ranger & Bunkhouse Cabins,-1.5487447575828757,-0.752022578981235,-3394.8485086216633,-1230.3089392133006,-2164.5395694083627,3.352552821937722,-1.6890944372226746,-1.4083950779430767,-3394.8485086216633,0.140482685867284,-1.03414713893836,-0.532365468558565,7
2021,Kuaokala Trail,-26.377788914809443,-7.79805251408477,-57820.113301262296,-12757.613913042684,-45062.499388219614,16.650343830810176,-27.07483100382746,-25.680746825791427,-57820.113301262296,0.543785861859628,-8.77009327238829,-6.91054205258684,8
2021,Kulanaahane Trail,-1.169024895231255,-0.0836555259515818,-2562.502570346911,-136.8604404567878,-2425.642129890123,0.7693787461697431,-1.2012338017815123,-1.1368159886809976,-2562.502570346911,0.0243432830384211,-0.133957488294346,-0.0478446070506102,9
2021,Kuliouou Trail,-5.412250130102584,-0.791915933952269,-11863.652285184864,-1295.5744679459121,-10568.077817238951,3.952897524650828,-5.5777323553499825,-5.246767904855186,-11863.652285184864,0.121207929993715,-1.00842651709474,-0.608876694523101,10
2021,Lonomea,-5.738666823283382,-2.01252104596922,-12579.157676637175,-3292.484431205644,-9286.673245431532,8.551782626476191,-6.0966745910122775,-5.380659055554487,-12579.157676637175,0.276459121571279,-2.69411718610251,-1.67650208072556,11
2021,Maakua Ridge Trail,-1.3771544748511375,-0.216818123176952,-3018.7226088736934,-354.7144495174935,-2664.0081593562,0.9808684425228815,-1.4182170856401621,-1.3360918640621129,-3018.7226088736934,0.0538265718585164,-0.306917120914861,-0.136173302191915,12
2021,Manana Trail,-3.758498436223708,-0.376770363840478,-8238.628572202368,-616.3963152430221,-7622.232256959345,2.4169683572499134,-3.8596812520230106,-3.6573156204244057,-8238.628572202368,0.0552566032610979,-0.484059995561884,-0.299601927653928,13
2021,Peacock Flats Campsite,-73.16128430529596,-20.3690704501099,-160369.53519720875,-33323.799256379796,-127045.73594082895,46.66090493165104,-75.11467427606911,-71.20789433452282,-160369.53519720875,0.863897902980322,-22.1023555175634,-18.9460962224826,14
2021,Sugi Grove,-7.5593280613228195,-2.72706677376119,-16570.047110419622,-4461.481241873307,-12108.565868546315,11.406381709994466,-8.036839409800754,-7.081816712844885,-16570.047110419622,0.33877913617032,-3.40652101675071,-2.14926344293439,15
2021,Waialae Cabin Campsite,-1.176932188185696,-0.543603099600129,-2579.8353565030457,-889.334670945811,-1690.5006855572346,1.7268774358767682,-1.2492253652883964,-1.1046390110829956,-2579.8353565030457,0.134128423781404,-0.78278645210271,-0.311855501153627,16
2021,Waikoali,-6.365670631746161,-2.22356377760002,-13953.550024787584,-3637.7503401536324,-10315.799684633952,9.566100987836142,-6.766141341785195,-5.965199921707127,-13953.550024787584,0.250818465237281,-2.68085457890971,-1.831053862381,17
2021,Waikolu,-0.5499767934063338,-0.379732248689331,-1205.5491311466835,-621.2419588557455,-584.3071722909381,0.7676086955548242,-0.5821115993980184,-0.5178419874146492,-1205.5491311466835,0.166113151507387,-0.816216089253953,-0.208808523686726,18
2021,Waimano Trail,-1.9322674226704246,-0.209816255247984,-4235.53019049357,-343.25939358570184,-3892.2707969078688,1.247363254842063,-1.9844864457581368,-1.8800483995827124,-4235.53019049357,0.0330135491825641,-0.278585399508327,-0.14978043339323,19
2021,Waimanu Campsite,-31.39795622557324,-12.7269136146098,-68824.32004645655,-20821.230673501632,-48003.08937295491,78.12884006347227,-34.668704892614265,-28.127207558532216,-68824.32004645655,1.02311004308256,-14.6206585205455,-11.0387396179013,20
2021,Wiliwili,-2.887858460777365,-1.71798929137426,-6330.185746023984,-2810.6304806882895,-3519.555265335695,4.186319190108571,-3.0631125398054437,-2.7126043817492866,-6330.185746023984,0.333950946993864,-2.47228269551996,-1.26728826378493,21
2021,Wiliwilinui Ridge Trail,-0.8929639534404736,-0.194246434564462,-1957.3769859415181,-317.7871669474598,-1639.5898189940583,0.6322635142505417,-0.9194327330201219,-0.8664951738608254,-1957.3769859415181,0.0586751389174695,-0.311688574386672,-0.104862727961281,22
2022,Ainapo Cabin,-3.6289839892929656,-1.73831306065932,-6949.504339496029,-2491.0026159248055,-4458.501723571224,11.144090049282031,-4.128117001808763,-3.129850976777168,-6949.504339496029,0.258198010782557,-2.19513709860775,-1.33623872031193,1
2022,Hipalau,-2.4877884974632325,-1.8447122231709,-4764.11497264209,-2643.4726158038993,-2120.6423568381906,3.095409109363221,-2.6264288769731636,-2.3491481179533014,-4764.11497264209,0.386735737667237,-2.52140150285808,-1.24127748918493,2
2022,Kaluahaulu,-2.242386921868753,-1.47401881013041,-4294.170955378662,-2112.268954916877,-2181.902000461785,2.7873537243353805,-2.3672297986960342,-2.117544045041472,-4294.170955378662,0.254561854487374,-1.93339803941343,-1.03169340961447,3
2022,Kamananui Trail,-0.6306612613809268,-0.0423224630382418,-1207.7163155444748,-60.6480895338005,-1147.0682260106744,0.43001695795967215,-0.6499213049295806,-0.6114012178322731,-1207.7163155444748,0.0151048790322338,-0.0765469591979074,-0.0221878604292125,4
2022,Kaunala Trail,-1.984667618102338,-0.451461721524007,-3800.638488665977,-646.9446469439021,-3153.693841722075,1.4466510455373487,-2.049461718941886,-1.9198735172627897,-3800.638488665977,0.109525590614678,-0.638977448456769,-0.258725612847831,5
2022,Kawaikoi,-13.0697081615908,-5.43362333621776,-25028.491129446382,-7786.382240800051,-17242.108888646333,16.68644779179866,-13.81707801571762,-12.32233830746398,-25028.491129446382,0.446869120169377,-6.16403957214767,-4.73287285555356,6
2022,Keanakolu Ranger & Bunkhouse Cabins,-3.7488044684200714,-1.25950822035929,-7178.960557024437,-1804.8752797748625,-5374.085277249575,10.323198180623628,-4.211170528269367,-3.286438408570776,-7178.960557024437,0.232007215734213,-1.7571040492639,-0.972263349648776,7
2022,Kuaokala Trail,-21.646831153076697,-5.83191747136893,-41453.681658141875,-8357.137736471677,-33096.5439216702,14.18938893249413,-22.282360156549746,-21.011302149603647,-41453.681658141875,0.539769054816222,-6.95566832557311,-5.0168943549806,8
2022,Kulanaahane Trail,-0.7889336059805071,-0.0735411364763094,-1510.807855452671,-105.38444857055137,-1405.4234068821197,0.5380753927372287,-0.8130334822871291,-0.7648337296738851,-1510.807855452671,0.0215691969091474,-0.115807116084275,-0.0442078913442399,9
2022,Kuliouou Trail,-4.505970362079447,-0.563620906084211,-8628.93324338214,-807.6687584186743,-7821.264484963465,3.4411972837780667,-4.660098259405975,-4.351842464752918,-8628.93324338214,0.0882158340602823,-0.751878641843879,-0.422808983848183,10
2022,Lonomea,-9.250535602127783,-5.29484968562378,-17714.775678074704,-7587.519599498877,-10127.256078575827,11.58811270257928,-9.769555959737296,-8.73151524451827,-17714.775678074704,0.593218581037454,-6.21563629208422,-4.26255887193039,11
2022,Maakua Ridge Trail,-1.6645445329296646,-0.335739987453842,-3187.602780560308,-481.1154020213556,-2706.4873785389523,1.2285310961904623,-1.719569252247182,-1.6095198136121474,-3187.602780560308,0.0655289044386906,-0.467326319574693,-0.204894338007231,12
2022,Manana Trail,-4.087208825637735,-0.520730934646381,-7827.004901096262,-746.207429348264,-7080.797471747998,2.723342729550466,-4.20918471193283,-3.96523293934264,-7827.004901096262,0.0731682725299593,-0.647858335220034,-0.378214790183909,13
2022,Peacock Flats Campsite,-79.62825932402703,-21.9248926135482,-152488.11660551175,-31418.37111521457,-121069.74549029718,52.96646053680646,-82.00057585172222,-77.25594279633184,-152488.11660551175,0.953548436458578,-23.856988561881,-20.4474945052597,14
2022,Sugi Grove,-8.434003303541699,-3.08195123183115,-16151.116326282354,-4416.436115214038,-11734.680211068317,10.612356868457358,-8.909320501286983,-7.9586861057964144,-16151.116326282354,0.316325662669636,-3.70200674239732,-2.64047587663905,15
2022,Waialae Cabin Campsite,-1.6732706214543844,-1.01894774543505,-3204.3132400851464,-1460.1521192084265,-1744.16112087672,2.040280606123412,-1.7646528160354078,-1.581888426873361,-3204.3132400851464,0.211904288187659,-1.48480378525548,-0.675501928775662,16
2022,Waikoali,-6.8224052365106695,-2.95620196673551,-13064.906027917932,-4236.237418331986,-8828.668609585946,8.536495489921249,-7.204746611299401,-6.440063861721938,-13064.906027917932,0.40624869803758,-3.54764201227687,-2.27564821093415,17
2022,Waikolu,-0.5538412290832886,-0.525138919853283,-1060.6059536944977,-752.5240721497545,-308.08188154474317,0.934913367948895,-0.5957150943986256,-0.5119673637679516,-1060.6059536944977,0.1938389979864,-0.940054786291328,-0.279213954018225,18
2022,Waimano Trail,-1.3447083008175251,-0.152904076751586,-2575.116396065561,-219.1115419850227,-2356.0048540805383,0.8997527008729744,-1.3850073538689573,-1.304409247766093,-2575.116396065561,0.0361447730145395,-0.22036341530953,-0.0918463221834655,19
2022,Waimanu Campsite,-10.366861293425622,-4.58387324539963,-19852.539376910066,-6568.69036065767,-13283.849016252396,29.474079910876515,-11.686976819411967,-9.046745767439276,-19852.539376910066,0.499332097621661,-5.64644645224136,-3.78370733098144,20
2022,Wiliwili,-3.474972200282697,-3.17829537409872,-6654.571763541365,-4554.497271083465,-2100.0744924578994,4.169822128891169,-3.6617344995502425,-3.288209901015151,-6654.571763541365,0.389518404871445,-3.85775606148287,-2.40964092343215,21
2022,Wiliwilinui Ridge Trail,-1.1860547285300487,-0.119489289609333,-2271.294805135043,-171.2281520101742,-2100.066653124869,0.8754671837007981,-1.2252660567611457,-1.1468434002989516,-2271.294805135043,0.0344437681072531,-0.179079751826681,-0.0646550745643408,22
2023,Ainapo Cabin,-4.933479177982263,-2.97585122706602,-8909.863395435967,-4115.602247032305,-4794.2611484036615,14.121248314262585,-5.5847629968736685,-4.282195359090857,-8909.863395435967,0.482029764031279,-4.19289339164687,-2.25048806668627,1
