parkname,mean_cv_rum,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mean,std.dev,ci_lo2.5%,ci_hi97.5%,year
Sugi Grove,-7.1701014405711305,11.958552608652335,-7.728325478173721,-6.61187740296854,-12640.888839726904,14,-2.05557816795304,0.3399694153996851,-2.6340492446042556,-1.4791207410648513,2019
Waialae Cabin Campsite,-0.7520751644961616,1.1965501561328613,-0.8079300058978895,-0.6962203230944337,-1325.9085150067328,15,-1.2344447020895746,0.5020504966023852,-2.420376369493353,-0.6557073578749513,2019
Waikoali,-3.6900989065352143,6.031249750261993,-3.9716370405853922,-3.4085607724850364,-6505.644372221583,16,-0.7650010977607516,0.14109689835316938,-1.0353216218212318,-0.5810549731530944,2019
Waikolu,-0.6551958611549391,0.6032003164602238,-0.6833531914905484,-0.6270385308193298,-1155.1103032161577,17,-0.40175381212120675,0.12408756921939171,-0.6438315646107042,-0.22678852492981447,2019
Waimano Trail,-1.0311804388516792,0.8407683302423781,-1.0704274202678676,-0.9919334574354909,-1817.9711136955104,18,-0.0313160050795058,0.012618465867393692,-0.057624187947865745,-0.013205083829773439,2019
Waimanu Campsite,-63.92128057432425,82.14557167220737,-67.75582762953015,-60.086733519118354,-112693.21765253365,19,-26.076807257403075,1.5294896358217402,-28.601643550357146,-23.459811225244643,2019
Wiliwili,-2.88359919590231,4.5565294014743705,-3.0962975318284824,-2.670900859976138,-5083.785382375773,20,-1.7510962100839698,0.43253082076743915,-2.51719085235369,-1.0694825621374178,2019
Wiliwilinui Ridge Trail,-1.0315169338843533,0.9046171963992644,-1.0737443739755033,-0.9892894937932032,-1818.5643544381148,21,-0.009769092346089093,0.004952757421137144,-0.01931489722526059,-0.003063328099362874,2019
Ainapo Cabin,-2.9599753212638196,3.8091883890076907,-3.1377878536067625,-2.7821627889208767,-5218.436491388114,1,-0.6685446926748663,0.22409845425536043,-1.072168032267641,-0.3033537468716553,2020
Hipalau,-2.5912821512197284,4.250944138786441,-2.7897157977012865,-2.3928485047381702,-4568.430432600381,2,-1.737744948679503,0.3513184541966434,-2.352357273377147,-1.197972289054724,2020
